"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Android","rosy_android_tablet","03_Access_Vault_Screen.story","0","1","0","0","0"
"Android","rosy_android_tablet","04_Access_To_Itemviewer_Screen.story","0","1","0","0","0"
"Android","rosy_android_tablet","01_Login_successfully_with_valid_data.story","0","1","0","0","0"
"Android","rosy_android_tablet","02_Verify_HomePage_NavigationBar.story","0","1","0","0","0"
